rusia,arabia saudita,2018:06:14:15:00,0-0,grupo
egipto,uruguay,2018:06:15:12:00,0-0,grupo
marruecos,iran,2018:06:15:15:00,0-0,grupo
portugal,españa,2018:06:15:18:00,0-0,grupo
francia,australia,2018:06:16:10:00,0-0,grupo
argentina,islandia,2018:06:16:13:00,0-0,grupo
peru,dinamarca,2018:06:16:16:00,0-0,grupo
croacia,nigeria,2018:06:16:19:00,0-0,grupo
costa rica,serbia,2018:06:17:12:00,0-0,grupo
alemania,mexico,2018:06:17:15:00,0-0,grupo
brasil,suiza,2018:06:17:19:00,0-0,grupo
suecia,corea del sur,2018:06:18:12:00,0-0,grupo
belgica,panama,2018:06:18:15:00,0-0,grupo
tunez,inglaterra,2018:06:18:19:00,0-0,grupo
colombia,japon,2018:06:19:15:00,0-0,grupo
polonia,senegal,2018:06:19:12:00,0-0,grupo
rusia,egipto,2018:06:19:18:00,0-0,grupo
portugal,marruecos,2018:06:20:12:00,0-0,grupo
uruguay,arabia saudita,2018:06:20:15:00,0-0,grupo
iran,españa,2018:06:20:18:00,0-0,grupo
australia,dinamarca,2018:06:21:15:00,0-0,grupo
francia,peru,2018:06:21:12:00,0-0,grupo
argentina,croacia,2018:06:21:18:00,0-0,grupo
brasil,costa rica,2018:06:22:12:00,0-0,grupo
nigeria,islandia,2018:06:22:15:00,0-0,grupo
serbia,suiza,2018:06:22:18:00,0-0,grupo
belgica,tunez,2018:06:23:12:00,0-0,grupo
corea del sur,mexico,2018:06:23:18:00,0-0,grupo
alemania,suecia,2018:06:23:15:00,0-0,grupo
inglaterra,panama,2018:06:24:12:00,0-0,grupo
japon,senegal,2018:06:24:15:00,0-0,grupo
polonia,colombia,2018:06:24:18:00,0-0,grupo
arabia saudita,egipto,2018:06:25:14:00,0-0,grupo
uruguay,rusia,2018:06:25:14:00,0-0,grupo
españa,marruecos,2018:06:25:18:00,0-0,grupo
iran,portugal,2018:06:25:18:00,0-0,grupo
australia,peru,2018:06:26:14:00,0-0,grupo
dinamarca,francia,2018:06:26:14:00,0-0,grupo
islandia,croacia,2018:06:26:18:00,0-0,grupo
nigeria,argentina,2018:06:26:18:00,0-0,grupo
corea del sur,alemania,2018:06:27:14:00,0-0,grupo
mexico,suecia,2018:06:27:14:00,0-0,grupo
serbia,brasil,2018:06:27:18:00,0-0,grupo
suiza,costa rica,2018:06:27:18:00,0-0,grupo
japon,polonia,2018:06:28:14:00,0-0,grupo
senegal,colombia,2018:06:28:14:00,0-0,grupo
inglaterra,belgica,2018:06:28:18:00,0-0,grupo
panama,tunez,2018:06:28:18:00,0-0,grupo
